OBJECTID,UNITS,ELEVATION,GlobalID,SHAPElen
1,FEET,1500,{DB1686ED-C865-4A5D-A40D-F6A2975B95B2},13.125295794231755
2,FEET,1500,{D4E9B1DD-DFEC-427E-9723-C5208E535710},18.286139300444873
3,FEET,1500,{05B7C1AF-3C47-4A22-B530-69C9BD2FCA98},13.746834642535063
4,FEET,1500,{4CA65B12-752B-436B-9DDB-0CE0ED097397},595.837296564048
5,FEET,1000,{1C924301-CB45-465F-91C5-597FF73A5A50},156.0553911972567
6,FEET,1000,{10113D17-1AB0-4212-B4A0-91F874F3898E},263.59171352605847
7,FEET,1000,{1B6EF889-D599-44C4-9DC6-CB2E57148C6A},127.59383467682022
8,FEET,1000,{B4EBAB56-6C46-4EB6-A6E2-1D2AD8D2D04B},62.04879516035945
9,FEET,1000,{B86DD6E7-ECF8-4F21-9D7F-4EE03C560D88},1192.8961769092039
10,FEET,1500,{30E08A93-0309-4B48-A01E-EAB9EED7CBF5},1528.4342552375422
11,FEET,1000,{A73F0378-F1D9-46F2-AFAC-ED32012B4B53},1556.0590243433933
12,FEET,1000,{94B1158A-DAA5-4FAD-84DA-13BEEC198C57},129.66407357826043
13,FEET,1000,{AE674E8E-E782-4F24-9930-49827E17B6AE},56.77153202145975
14,FEET,1500,{DB168F0B-9B33-404E-A18E-F3F82757C451},36.92730716251747
15,FEET,1000,{0DD3C926-CFDC-4F55-BCF2-5C5558F92843},184.17056313151835
16,FEET,1000,{0226BE91-FC31-49FD-A0B2-9508928D3927},25.396003081683787
17,FEET,1000,{387EA05E-7063-4336-9016-32F645ACCEE6},33.921175492067974
18,FEET,1000,{CDCE6252-C773-4AD5-BFA1-0789E90DE62F},406.4391287127426
19,FEET,1500,{A05A9565-9983-4B27-99DD-8934C917F65D},213.33284826971678
20,FEET,1000,{EE216E30-74FA-47CE-A6C8-E425B6D173EF},139.10045279508483
21,FEET,1500,{B0C1D153-37A7-4DE6-B770-6E12E9EC26AE},27.1735924398837
22,FEET,1000,{581C8533-E23E-426E-B48C-D9753B130577},24.923023167218354
23,FEET,1000,{5BCF4BC7-A520-4E52-B461-3A35405E6762},397.09462809147425
24,FEET,1000,{DFE646C7-BB41-4268-AD3A-BE27B8793C7A},186.06061051298832
25,FEET,1000,{D4CF6B80-BC0B-4C10-B2D5-E8A31DA052E4},236.35380145394
